Income,Monthly Premium Auto,Total Claim Amount,Coverage_1,Coverage_2,Education_1,Education_2,Education_3,Education_4,EmploymentStatus_1,EmploymentStatus_2,EmploymentStatus_3,EmploymentStatus_4,Location Code_1,Location Code_2,Marital Status_1,Marital Status_2,Policy_1,Policy_2,Policy_3,Policy_4,Policy_5,Policy_6,Policy_7,Policy_8,Renew Offer Type_1,Renew Offer Type_2,Renew Offer Type_3,Vehicle Class_1,Vehicle Class_2,Vehicle Class_3,Vehicle Class_4,Vehicle Class_5,Vehicle Size_1,Vehicle Size_2,Response
0.612827437138999,-0.7039246517148888,-0.16963968828049467,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-1.239616841886121,0.022691028760544248,2.400736998851253,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.36570977707144425,0.4295958098267868,0.4557337631145031,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-1.239616841886121,0.3714665553887521,0.3297685493248171,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0.20338965161612088,-0.5876661428388196,-1.0188434561218382,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.8310099136179857,-0.7039246517148888,-0.9456822866424116,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1
0.5824109301585247,-0.7620539061529235,-0.38724584152974045,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-1.239616841886121,0.22614341929366552,-0.24462300168240772,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.7763905580882483,-0.6457953972768542,0.2654574966339699,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-0.2911748514949678,-0.006373598458473077,-0.029471346909888434,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
-1.239616841886121,-0.7620539061529235,0.16631268577365943,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-1.239616841886121,0.48772506426482143,0.3232919696358177,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1.29594794889095,0.48772506426482143,0.13061276342273329,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2.0471105817777935,0.48772506426482143,0.3232919696358177,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
1.5152825657858637,-0.6748600244958716,-0.43702778676362664,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.42985963927498755,-0.8492477878099755,-1.346608654804309,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
-0.41504640535592535,-0.7620539061529235,0.06938864294100074,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
-0.2897593646982574,0.22614341929366552,0.7344745242283987,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0.44408824365208205,-0.6167307700578368,-0.430684818477374,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.9375993612400374,0.22614341929366552,0.17457475334535208,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.6613819260959249,-0.5586015156198022,-0.271576895526045,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
-0.7857064363084586,-0.4132783795247156,-0.18895621980911967,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
-0.7763905580882483,-0.6457953972768542,0.2654574966339699,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
-1.239616841886121,-0.5876661428388196,0.41409471889770083,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.6513668638113637,-0.9364416694670274,0.01759546948319378,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1.9712668241121951,-0.6167307700578368,-0.1545825555275549,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.239616841886121,0.5167896914838388,1.2569056052370746,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.893612615834427,1.3305992536163238,0.2828007847943348,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1.6105810373318303,0.5167896914838388,0.33981610477920265,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
